id,famille,nom,energie,proteines,lipides,dontAGS,glucides,sucre,fibres,sodium,calcium,magnesium,fer,vitamineC,vitamineD,eau,allergene,vegetarien,visuel
171,Biscuits secs sucres,biscuit sec petit beurre,440,8.2,12.7,7.86,72.5,21.6,"< 2,8",371,46.7,19.7,1.76,0.0233,0.055,2.42,,,biscuits sucres
172,Biscuits secs sucres,biscuit sec pour petit dejeuner,461,5.25,17.9,7.37,67,25.9,5.28,288,165,97,3.96,0,"< 0,2",2.78,,,biscuits sucres
173,Biscuits secs sucres,"biscuit sec, avec matiere grasse vegetale",451,8.2,14.5,5.4,70,22.6,4,272,54.2,37.1,2.16,0,0,2.28,,,biscuits sucres
174,Biscuits secs sucres,"biscuit sec, tout type",475,6.5,19.8,6.34,66.2,23.6,3,255,10,14,0.4,0,0.4,3.52,,,biscuits sucres
175,Biscuits secs sucres,cookie aux pepites de chocolat,504,6.52,25.4,12.3,61.3,31.3,1.98,401,35.6,61.4,2.44,< 1,"< 0,5",3.36,,,biscuits sucres
176,Biscuits secs sucres,"gaufrette fourree, autre fourrage qu'aux fruits (chocolat, vanille, noisette, etc.)",524,6.02,28.2,20.5,60.1,30.7,"< 5,9",93,20.1,47.3,6.8,1,"< 0,2",1.85,,,biscuits sucres
177,Biscuits secs sucres,"gaufrette fourree, aux fruits",366,5.2,0.994,0.272,84,46.5,0.31,106,24.5,28.8,< 1,0.3,"< 0,2",8.94,,,biscuits sucres
178,Biscuits secs sucres,genoise seche fourree aux fruits et nappee de chocolat,396,3.97,11.4,6.54,69.1,51.2,< 1,97.4,220,37,1.9,< 1,"< 0,5",13.8,,,biscuits sucres
179,Biscuits secs sucres,"goeter sec fourre (""sandwiche"") parfum chocolat",471,6.17,18.4,10.4,68.9,32.5,"< 5,5",220,147,45,3.3,< 1,"< 0,5",2.49,,,biscuits sucres
180,Biscuits secs sucres,"goeter sec fourre (""sandwiche"") parfum fruits",412,5.31,9.98,2.95,73.2,31.1,4.2,178,0,0,0,0,0,6.41,,,biscuits sucres
181,Biscuits secs sucres,"goeter sec fourre (""sandwiche"") parfum lait ou vanille",480,5.4,19.4,9.85,69.9,37.2,2.1,202,20.6,12.9,< 1,0,"< 0,2",2.2,,,biscuits sucres
182,Biscuits secs sucres,langue de chat,435,5.19,11.4,4.86,76.4,39.5,3,207,21.8,15.4,0.6,"< 0,5","< 0,5",3.15,,,biscuits sucres
183,Biscuits secs sucres,meringue,401,5.5,1.3,0.0864,91.8,91.8,0,93.1,4.3,4.14,0.35,0,0,1.12,,,biscuits sucres
184,Biscuits secs sucres,"palmier, artisanal",522,5.84,31.9,18.7,50.3,23.1,5.3,504,15.3,11.2,2.14,0,"< 0,2",5.41,,,biscuits sucres
185,Biscuits secs sucres,sable pâtissier,484,8.4,22.9,9.9,59.4,30.1,3.3,163,31.9,21.8,< 1,0,"< 0,2",5,,,biscuits sucres
186,Biscuits secs sucres,"tartine craquante, extrudee et grillee, fourree au chocolat",428,8.1,13.4,4.54,66.2,0,5.1,126,173,56.2,3.7,0,0,5.5,,,biscuits sucres
187,Biscuits secs sucres,"tartine craquante, extrudee et grillee, fourree au chocolat ou aux fruits",398,5.73,8.87,2.03,70.5,33,5.64,108,0,0,0,0,0,7.6,,,biscuits sucres
188,Biscuits secs sucres,"tartine craquante, extrudee et grillee, fourree aux fruits",382,4.8,5.5,2.42,76,0,3.7,127,145,24.5,< 1,< 1,0,8.9,,,biscuits sucres
